Date,Open,High,Low,Settle,Volume,Open Interest
2011-10-25,1247.0,1254.5,1222.25,,2635786.0,2994122.0
2011-10-24,1229.75,1252.5,1226.75,,2006311.0,2984444.0
2011-10-21,1208.75,1235.75,1208.0,,2115010.0,2992779.0
2011-10-20,1206.75,1216.25,1192.5,,2898123.0,2976324.0
2011-10-19,1222.75,1227.25,1201.5,,2430802.0,2987028.0
2011-10-18,1194.0,1229.75,1185.5,,2978540.0,2994319.0
2011-10-17,1218.25,1230.75,1193.5,,2385603.0,3004602.0
2011-10-14,1197.5,1221.5,1193.0,,2244214.0,3021872.0
2011-10-13,1198.5,1204.25,1185.25,,2316227.0,2954661.0
2011-10-12,1187.5,1216.0,1180.75,,2559219.0,2990284.0
2011-10-11,1190.5,1194.75,1180.75,,1953734.0,3007577.0
2011-10-10,1157.75,1192.25,1156.5,,1776333.0,2994500.0
2011-10-07,1157.25,1173.75,1144.75,,2865466.0,3053178.0
2011-10-06,1135.0,1160.5,1129.0,,2903759.0,3116403.0
2011-10-05,1114.5,1141.25,1106.5,,3039981.0,3115881.0
2011-10-04,1087.5,1119.75,1068.0,,4190407.0,3139609.0
2011-10-03,1123.0,1133.5,1085.25,,3504183.0,3115740.0
2011-09-30,1157.25,1159.75,1121.5,,2980938.0,3006367.0
2011-09-29,1148.25,1170.75,1133.5,,2975702.0,2956018.0
2011-09-28,1169.0,1181.75,1143.5,,2802438.0,2976156.0
2011-09-27,1157.5,1190.0,1155.0,,3258954.0,2974168.0
2011-09-26,1122.0,1159.0,1115.0,,3089036.0,3062794.0
2011-09-23,1124.25,1138.5,1102.0,,3365634.0,3067211.0
2011-09-22,1155.25,1159.0,1106.75,,4741905.0,3081477.0
2011-09-21,1196.75,1203.75,1155.0,,3254771.0,2936112.0
2011-09-20,1196.75,1214.5,1185.25,,2614553.0,2918960.0
2011-09-19,1199.25,1203.75,1181.5,,2446620.0,2897053.0
2011-09-16,1210.0,1216.75,1201.5,,51069.0,1230321.0
2011-09-15,1189.0,1212.0,1182.25,,216553.0,1353269.0
2011-09-14,1171.25,1202.5,1154.25,,868479.0,1353269.0
2011-09-13,1162.75,1176.75,1145.0,,1129051.0,1681494.0
2011-09-12,1143.5,1164.0,1129.5,,1148718.0,2234432.0
2011-09-09,1185.75,1194.0,1146.75,,1615259.0,2683030.0
2011-09-08,1199.25,1203.75,1182.0,,2136073.0,2994565.0
2011-09-07,1164.5,1199.75,1163.75,,2595150.0,3415957.0
2011-09-06,1143.0,1166.0,1136.0,,3522564.0,3594453.0
2011-09-05,1165.0,1166.75,1138.25,,2427798.0,3528629.0
2011-09-02,1201.0,1203.25,1168.5,,2427798.0,3540459.0
2011-09-01,1218.0,1228.5,1200.75,,2656315.0,3435920.0
2011-08-31,1204.25,1229.75,1201.25,,3159833.0,3451099.0
2011-08-30,1208.0,1218.75,1193.5,,2576230.0,3467846.0
2011-08-29,1175.5,1208.75,1172.25,,1832857.0,3471251.0
2011-08-26,1157.0,1179.75,1132.75,,3053686.0,3452313.0
2011-08-25,1171.5,1188.5,1153.0,,3198280.0,3429011.0
2011-08-24,1159.0,1176.75,1142.5,,2616278.0,3395461.0
2011-08-23,1123.5,1160.75,1118.5,,3338118.0,3371817.0
2011-08-22,1122.0,1146.5,1111.25,,2714560.0,3396068.0
